goi	ten	tac_gia	license	gia	tag	cach_lay
foozlecc/void-fleet-pack-2	Void - Fleet Pack 2 - Nairan	foozlecc	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs foozlecc/void-fleet-pack-2  (o repo quoc-chien)
ggbot/ggbotnet-fonts-cc0	GGBotNet Fonts CC0 (All-in-1)	ggbot	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs ggbot/ggbotnet-fonts-cc0  (o repo quoc-chien)
thkaspar/1-bit-icons	1-Bit Icons	thkaspar	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs thkaspar/1-bit-icons  (o repo quoc-chien)
v3x3d/pattern-panic	Pattern Panic - 10x10 Top-Down Tiles (1Bit, CC0, Free)	v3x3d	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs v3x3d/pattern-panic  (o repo quoc-chien)
devilsworkshop/lowpoly-forest-pack	Low Poly Forest Pack	devilsworkshop	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs devilsworkshop/lowpoly-forest-pack  (o repo quoc-chien)
luizmelo/medieval-warrior-pack-3	Medieval Warrior Pack 3	luizmelo	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs luizmelo/medieval-warrior-pack-3  (o repo quoc-chien)
kronbits/matriax-free-assets	PixelArt Free Game Assets	kronbits	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs kronbits/matriax-free-assets  (o repo quoc-chien)
grafxkid/sprite-pack-4	Sprite Pack 4	grafxkid	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs grafxkid/sprite-pack-4  (o repo quoc-chien)
luizmelo/fantasy-warrior	Fantasy Warrior	luizmelo	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs luizmelo/fantasy-warrior  (o repo quoc-chien)
rohhsa/free-psx-ui	COMPLETE AND FREE PSX UI (USER INTERFACE)	rohhsa	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs rohhsa/free-psx-ui  (o repo quoc-chien)
styloo/2dclassroom	2D School Classroom Asset Pack	styloo	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs styloo/2dclassroom  (o repo quoc-chien)
stealthix/animated-fires	Animated Fires	stealthix	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs stealthix/animated-fires  (o repo quoc-chien)
henrysoftware/pixel-effects	Pixel Effects!	henrysoftware	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	$7	2d	node tools/tai_itch.mjs henrysoftware/pixel-effects  (o repo quoc-chien)
grafxkid/sprite-pack-5	Sprite Pack 5	grafxkid	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs grafxkid/sprite-pack-5  (o repo quoc-chien)
screamingbrainstudios/photorealistic-texture-pack-2	Photorealistic Texture Pack 2	screamingbrainstudios	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs screamingbrainstudios/photorealistic-texture-pack-2  (o repo quoc-chien)
wenrexa/uidarktemplar	Assets: UI MMORPG Dark Templar	wenrexa	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	$5.25	2d	node tools/tai_itch.mjs wenrexa/uidarktemplar  (o repo quoc-chien)
gibbongl/gbcrystal-base-tilesets	GB Crystal: Base Tilesets	gibbongl	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	$5	2d	node tools/tai_itch.mjs gibbongl/gbcrystal-base-tilesets  (o repo quoc-chien)
wenrexa/ui-different03	Assets: Free UI KIT #3 [Windows, Icons, Panels, Buttons]	wenrexa	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs wenrexa/ui-different03  (o repo quoc-chien)
karsiori/woods-tileset-and-background	FREE Pixel Art Woods Tileset and Background	karsiori	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs karsiori/woods-tileset-and-background  (o repo quoc-chien)
ghostpixxells/pixel-mart	Pixel Mart	ghostpixxells	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs ghostpixxells/pixel-mart  (o repo quoc-chien)
dumivid/mechanized-magic-2d-vector-fantasy-robot-cards-pack	Mechanized Magic: 2D Vector Cards Pack	dumivid	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs dumivid/mechanized-magic-2d-vector-fantasy-robot-cards-pack  (o repo quoc-chien)
stealthix/rpg-nature-tileset	RPG Nature Tileset - Seasons	stealthix	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs stealthix/rpg-nature-tileset  (o repo quoc-chien)
grafxkid/mini-pixel-pack-3	Mini Pixel Pack 3	grafxkid	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs grafxkid/mini-pixel-pack-3  (o repo quoc-chien)
foozlecc/void-fleet-pack-3	Void - Fleet Pack 3 - Nautolan	foozlecc	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs foozlecc/void-fleet-pack-3  (o repo quoc-chien)
luizmelo/medieval-warrior-pack-2	Medieval Warrior Pack 2	luizmelo	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs luizmelo/medieval-warrior-pack-2  (o repo quoc-chien)
wenrexa/spells-4	FREE Assets: Skill & Ability Icons Pack[+70] #4	wenrexa	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs wenrexa/spells-4  (o repo quoc-chien)
luizmelo/medieval-king-pack-2	Medieval King Pack 2	luizmelo	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs luizmelo/medieval-king-pack-2  (o repo quoc-chien)
luizmelo/hero-knight-2	Hero Knight 2	luizmelo	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs luizmelo/hero-knight-2  (o repo quoc-chien)
styloo/2d-village	2D Village Asset Pack	styloo	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs styloo/2d-village  (o repo quoc-chien)
rvros/pixel-art-animated-slime	Animated Pixel Slime	rvros	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs rvros/pixel-art-animated-slime  (o repo quoc-chien)
grafxkid/sprite-pack-3	Sprite Pack 3	grafxkid	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs grafxkid/sprite-pack-3  (o repo quoc-chien)
atari-boy/skull-wolf-pixel-art	Skull Wolf Pixel art	atari-boy	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs atari-boy/skull-wolf-pixel-art  (o repo quoc-chien)
styloo/2d-dungeon	2d Dungeon Asset Pack	styloo	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs styloo/2d-dungeon  (o repo quoc-chien)
limofeus/pixel-simulations	Pixel simulations	limofeus	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs limofeus/pixel-simulations  (o repo quoc-chien)
screamingbrainstudios/isometric-object-pack	Isometric Tiles - Object Pack	screamingbrainstudios	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs screamingbrainstudios/isometric-object-pack  (o repo quoc-chien)
thkaspar/micro-character-bases	Micro Character Bases	thkaspar	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs thkaspar/micro-character-bases  (o repo quoc-chien)
wenrexa/kit-nesia2	Assets: Free UI Minimalism SciFi	wenrexa	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs wenrexa/kit-nesia2  (o repo quoc-chien)
screamingbrainstudios/isometric-floor-texture-pack	Isometric Floor Texture Pack	screamingbrainstudios	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs screamingbrainstudios/isometric-floor-texture-pack  (o repo quoc-chien)
zintoki/space-breaker	Space Breaker	zintoki	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs zintoki/space-breaker  (o repo quoc-chien)
wenrexa/cursors4	Assets: Magic Cursors Pack 4 [+77]	wenrexa	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs wenrexa/cursors4  (o repo quoc-chien)
atari-boy/oldherocharacter	Old hero Pixel Art character	atari-boy	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs atari-boy/oldherocharacter  (o repo quoc-chien)
ggbot/y2k-texture-pack	Y2K Texture Pack	ggbot	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs ggbot/y2k-texture-pack  (o repo quoc-chien)
devilsworkshop/3d-low-poly-car-game-asset-pack-vehicles-free	Low Poly Cars	devilsworkshop	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs devilsworkshop/3d-low-poly-car-game-asset-pack-vehicles-free  (o repo quoc-chien)
grafxkid/sprite-pack-1	Sprite Pack 1	grafxkid	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs grafxkid/sprite-pack-1  (o repo quoc-chien)
wenrexa/ui-different02	Assets Free Interface UI KIT #4 [Icons, Bars, Buttons]	wenrexa	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs wenrexa/ui-different02  (o repo quoc-chien)
rgsdev/character-prototype-animated-cc0	Character Prototype Animated CC0	rgsdev	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs rgsdev/character-prototype-animated-cc0  (o repo quoc-chien)
styloo/river-parallax-background	Parallax Backgrounds!	styloo	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs styloo/river-parallax-background  (o repo quoc-chien)
thkaspar/sci-fi-robot-parts	Sci Fi Robot Parts	thkaspar	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs thkaspar/sci-fi-robot-parts  (o repo quoc-chien)
bigbuckbunny/platform-assets-pack	Platformer assets pack	bigbuckbunny	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs bigbuckbunny/platform-assets-pack  (o repo quoc-chien)
screamingbrainstudios/iso-overworld-pack	Isometric Tiles - Overworld Pack	screamingbrainstudios	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs screamingbrainstudios/iso-overworld-pack  (o repo quoc-chien)
karsiori/free-pixel-art-tree-pack	FREE Pixel Art Tree Pack	karsiori	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs karsiori/free-pixel-art-tree-pack  (o repo quoc-chien)
luizmelo/tiny-platformer-forest-asset-pack	Tiny Platformer - Forest Asset Pack	luizmelo	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs luizmelo/tiny-platformer-forest-asset-pack  (o repo quoc-chien)
screamingbrainstudios/mini-texture-pack-1	Mini Texture Pack 1: Tile Floors	screamingbrainstudios	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs screamingbrainstudios/mini-texture-pack-1  (o repo quoc-chien)
reaktori/debts-in-the-depths-asset-pack	Debts in the Depths - Free Pixel Art Dungeon Asset Pack	reaktori	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs reaktori/debts-in-the-depths-asset-pack  (o repo quoc-chien)
stealthix/32-x-32-dungeon-assets	Dungeon Assets 32 x 32 px	stealthix	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs stealthix/32-x-32-dungeon-assets  (o repo quoc-chien)
comigo/farm-puzzle-animals	Farm, Puzzle & Animals graphics pack	comigo	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs comigo/farm-puzzle-animals  (o repo quoc-chien)
henrysoftware/pixel-mob	Pixel Mob!	henrysoftware	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	$7	2d	node tools/tai_itch.mjs henrysoftware/pixel-mob  (o repo quoc-chien)
tiopalada/tiny-rpg-emoji-pack-i	Tiny RPG - Emoji Pack I	tiopalada	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs tiopalada/tiny-rpg-emoji-pack-i  (o repo quoc-chien)
wenrexa/pixelassets1	WENREXA PIXEL ASSETS | All Pixel Assets + 3.000	wenrexa	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	$2.73	2d	node tools/tai_itch.mjs wenrexa/pixelassets1  (o repo quoc-chien)
hormelz/8-directional-char	8 Directional 2DHD Pixel Art Animated Character	hormelz	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs hormelz/8-directional-char  (o repo quoc-chien)
limofeus/handdrawniconpack	Hand drawn dungeon icon pack	limofeus	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs limofeus/handdrawniconpack  (o repo quoc-chien)
henrysoftware/godot-pixel-food	Godot Pixel Food	henrysoftware	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs henrysoftware/godot-pixel-food  (o repo quoc-chien)
raventale/nature-tile-set	Nature Basic Tile Set	raventale	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs raventale/nature-tile-set  (o repo quoc-chien)
bakudas/generic-platformer-pack	Generic PLATFORMER Pack	bakudas	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs bakudas/generic-platformer-pack  (o repo quoc-chien)
karsiori/pixel-art-potion-pack-animated	FREE Pixel Art Potion Pack - Animated	karsiori	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs karsiori/pixel-art-potion-pack-animated  (o repo quoc-chien)
tainara-p/female-character-sprite-creator	Female Character Sprite Creator - Descontinued!	tainara-p	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs tainara-p/female-character-sprite-creator  (o repo quoc-chien)
v3x3d/deep-night	Deep Night - 8x8 Platformer Assets Tileset (CC0, Free)	v3x3d	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs v3x3d/deep-night  (o repo quoc-chien)
jestan/trees	Pixel Tree Set	jestan	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs jestan/trees  (o repo quoc-chien)
mreliptik/playing-cards-packs-52-cards	Stylized Playing cards pack (52 cards) (black/white)	mreliptik	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs mreliptik/playing-cards-packs-52-cards  (o repo quoc-chien)
not-jam/not-jam-blackletter-13	Not Jam Blackletter 13	not-jam	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs not-jam/not-jam-blackletter-13  (o repo quoc-chien)
henrysoftware/pixel-fonts	Pixel Fonts!	henrysoftware	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	$3	2d	node tools/tai_itch.mjs henrysoftware/pixel-fonts  (o repo quoc-chien)
screamingbrainstudios/texture-grid-pack	Texture Grid Pack	screamingbrainstudios	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs screamingbrainstudios/texture-grid-pack  (o repo quoc-chien)
screamingbrainstudios/isowallpack	Isometric Tiles - Wall Pack	screamingbrainstudios	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs screamingbrainstudios/isowallpack  (o repo quoc-chien)
stealthix/horror-interior-assets	Horror Fantasy Assets	stealthix	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs stealthix/horror-interior-assets  (o repo quoc-chien)
grafxkid/sprite-pack-8	Sprite Pack 8	grafxkid	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs grafxkid/sprite-pack-8  (o repo quoc-chien)
karsiori/pixel-art-rock-pile-pack	FREE Pixel Art Rock Pile Pack	karsiori	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs karsiori/pixel-art-rock-pile-pack  (o repo quoc-chien)
henrysoftware/pixel-item	Pixel Item!	henrysoftware	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	$7	2d	node tools/tai_itch.mjs henrysoftware/pixel-item  (o repo quoc-chien)
stealthix/animated-slimes	Animated Slimes 16x16 px	stealthix	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs stealthix/animated-slimes  (o repo quoc-chien)
grafxkid/mini-fx-items-ui	Mini FX, Items & UI	grafxkid	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs grafxkid/mini-fx-items-ui  (o repo quoc-chien)
zintoki/ground-shaker	Ground Shaker	zintoki	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs zintoki/ground-shaker  (o repo quoc-chien)
grafxkid/at01	at01 Pixel Font	grafxkid	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs grafxkid/at01  (o repo quoc-chien)
liminal-space-dev/free-horror-sfx-sounds	FREE HORROR SFX - VN - SCARY SOUND EFFECTS	liminal-space-dev	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs liminal-space-dev/free-horror-sfx-sounds  (o repo quoc-chien)
gibbongl/gboracles-environment-pack	GB Oracles: Environment Pack	gibbongl	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	$5	2d	node tools/tai_itch.mjs gibbongl/gboracles-environment-pack  (o repo quoc-chien)
cucurbitapepo/girl-sprites-for-visual-novel	Girl Sprites for Visual Novels	cucurbitapepo	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs cucurbitapepo/girl-sprites-for-visual-novel  (o repo quoc-chien)
henrysoftware/free-pixel-mob	Free Pixel Mob!	henrysoftware	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs henrysoftware/free-pixel-mob  (o repo quoc-chien)
jik-a-4/metrocity-free-topdown-character-pack	MetroCity - Free Top Down Character Pack	jik-a-4	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs jik-a-4/metrocity-free-topdown-character-pack  (o repo quoc-chien)
alexs-assets/32x32-dungeon-pack	32x32 Dungeon Pack	alexs-assets	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs alexs-assets/32x32-dungeon-pack  (o repo quoc-chien)
rvros/pixel-platformer-tiles	Pixel Art Platformer Tileset	rvros	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	$6	2d	node tools/tai_itch.mjs rvros/pixel-platformer-tiles  (o repo quoc-chien)
not-jam/not-jam-old-style-11	Not Jam Old Style 11	not-jam	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs not-jam/not-jam-old-style-11  (o repo quoc-chien)
soulofkiran/pixel-art-wooden-gui-v1	Pixel Art Wooden GUI v1	soulofkiran	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs soulofkiran/pixel-art-wooden-gui-v1  (o repo quoc-chien)
screamingbrainstudios/isometric-grids	Isometric Grid Pack	screamingbrainstudios	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs screamingbrainstudios/isometric-grids  (o repo quoc-chien)
screamingbrainstudios/abstract-texture-pack	Abstract Texture Pack	screamingbrainstudios	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs screamingbrainstudios/abstract-texture-pack  (o repo quoc-chien)
wenrexa/icons1	Assets: UI Icons Pack Free #1	wenrexa	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs wenrexa/icons1  (o repo quoc-chien)
luizmelo/medieval-king-pack	Medieval King Pack	luizmelo	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs luizmelo/medieval-king-pack  (o repo quoc-chien)
ludonauta/godot-sandbox	Godot Sandbox	ludonauta	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs ludonauta/godot-sandbox  (o repo quoc-chien)
alexs-assets/side-view-game-assets	Side View Assets	alexs-assets	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs alexs-assets/side-view-game-assets  (o repo quoc-chien)
foozlecc/lucifer-warrior	Lucifer - Warrior	foozlecc	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs foozlecc/lucifer-warrior  (o repo quoc-chien)
wenrexa/nesia04	Assets: UI Space Minimalism	wenrexa	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	$2.70	2d	node tools/tai_itch.mjs wenrexa/nesia04  (o repo quoc-chien)
hormelz/8-directional-melee-character	Free 8-Directional Melee Character	hormelz	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs hormelz/8-directional-melee-character  (o repo quoc-chien)
luizmelo/fantasy-creatures	Fantasy Creatures	luizmelo	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	$15	2d	node tools/tai_itch.mjs luizmelo/fantasy-creatures  (o repo quoc-chien)
wenrexa/ui-different01	Assets: Free UI KIT #1 [Windows, Panels, Buttons]	wenrexa	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs wenrexa/ui-different01  (o repo quoc-chien)
screamingbrainstudios/top-down-dungeon-pack	Top Down Tiles - Dungeon Pack	screamingbrainstudios	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs screamingbrainstudios/top-down-dungeon-pack  (o repo quoc-chien)
henrysoftware/pixel-character	Pixel Hero!	henrysoftware	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	$7	2d	node tools/tai_itch.mjs henrysoftware/pixel-character  (o repo quoc-chien)
grafxkid/mini-pixel-pack-1	Mini Pixel Pack 1	grafxkid	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs grafxkid/mini-pixel-pack-1  (o repo quoc-chien)
luizmelo/tiny-platformer-hills-asset-pack	Tiny Platformer - Hills Asset Pack	luizmelo	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs luizmelo/tiny-platformer-hills-asset-pack  (o repo quoc-chien)
grafxkid/sprite-pack-2	Sprite Pack 2	grafxkid	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs grafxkid/sprite-pack-2  (o repo quoc-chien)
ggbot/ava-font	AVA Font - CC0	ggbot	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs ggbot/ava-font  (o repo quoc-chien)
atari-boy/merchant	Merchant character NPC	atari-boy	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs atari-boy/merchant  (o repo quoc-chien)
caz-bee/cute-mushroom-character-sprite	Cute Mushroom Character Sprite	caz-bee	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs caz-bee/cute-mushroom-character-sprite  (o repo quoc-chien)
foozlecc/void-pickups-pack	Void - Pickups Pack	foozlecc	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs foozlecc/void-pickups-pack  (o repo quoc-chien)
deadrevolver/platformer-prototype-pack	Platformer Prototype Pack	deadrevolver	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	$4.99	2d	node tools/tai_itch.mjs deadrevolver/platformer-prototype-pack  (o repo quoc-chien)
styloo/house-2d	FREE Houses 2D	styloo	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs styloo/house-2d  (o repo quoc-chien)
not-jam/not-jam-chunky-sans-6	Not Jam Chunky Sans 6	not-jam	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs not-jam/not-jam-chunky-sans-6  (o repo quoc-chien)
screamingbrainstudios/planet-surface-backgrounds	Planet Surface Backgrounds 1	screamingbrainstudios	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs screamingbrainstudios/planet-surface-backgrounds  (o repo quoc-chien)
anokolisa/legacy-fantasy-dusk-wood	Fantasy Pack - VL.II - Dusk Wood	anokolisa	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	$5	2d	node tools/tai_itch.mjs anokolisa/legacy-fantasy-dusk-wood  (o repo quoc-chien)
kosinaz/16x16-dark-dungeon-tileset	16x16 Dark Dungeon Tileset	kosinaz	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs kosinaz/16x16-dark-dungeon-tileset  (o repo quoc-chien)
styloo/pixel-grass-and-flowers	FREE Pixel Grass And Flowers	styloo	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs styloo/pixel-grass-and-flowers  (o repo quoc-chien)
comigo/fantasy-icons-ink	CC0 Hand-drawn Fantasy Icon Pack	comigo	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs comigo/fantasy-icons-ink  (o repo quoc-chien)
screamingbrainstudios/dungeon-crawler-pack	Old School Dungeon Crawler Pack	screamingbrainstudios	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs screamingbrainstudios/dungeon-crawler-pack  (o repo quoc-chien)
