goi	ten	tac_gia	license	gia	tag	cach_lay
foxh3ad/foxtexcom	Foxtex - Complete Edition	foxh3ad	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs foxh3ad/foxtexcom  (o repo quoc-chien)
ansimuz/warped-city	Warped City	ansimuz	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs ansimuz/warped-city  (o repo quoc-chien)
devilsworkshop/low-poly-3d-and-pixel-2d-rpg-game-assets	Low Poly 3D and Pixel 2D RPG Game Assets - Devil's Work.shop	devilsworkshop	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs devilsworkshop/low-poly-3d-and-pixel-2d-rpg-game-assets  (o repo quoc-chien)
screamingbrainstudios/seamless-space-backgrounds	Seamless Space Backgrounds	screamingbrainstudios	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs screamingbrainstudios/seamless-space-backgrounds  (o repo quoc-chien)
grafxkid/seasonal-tilesets	Seasonal Tilesets	grafxkid	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs grafxkid/seasonal-tilesets  (o repo quoc-chien)
v3x3d/paper-pixels	Simple Platformer - Paper Pixels - 8x8 Asset Pack (CC0, Free, Tileset)	v3x3d	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs v3x3d/paper-pixels  (o repo quoc-chien)
juliocacko/free-input-prompts	FREE Input Prompts Pack - Icons for PC and Consoles for Unreal Engine or Unity	juliocacko	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs juliocacko/free-input-prompts  (o repo quoc-chien)
gibbongl/8-directional-gameboy-character-template	8-Directional Game Boy Character Template	gibbongl	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs gibbongl/8-directional-gameboy-character-template  (o repo quoc-chien)
frosty-rabbid/rpg-ability-icons	RPG Ability Icons Collection	frosty-rabbid	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs frosty-rabbid/rpg-ability-icons  (o repo quoc-chien)
ansimuz/warped-caves	Warped Caves	ansimuz	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs ansimuz/warped-caves  (o repo quoc-chien)
rgsdev/free-cc0-modular-animated-vector-characters-2d	Free CC0 Modular Animated Vector Characters 2D	rgsdev	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs rgsdev/free-cc0-modular-animated-vector-characters-2d  (o repo quoc-chien)
screamingbrainstudios/seamless-sky-backgrounds	Seamless Sky Backgrounds	screamingbrainstudios	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs screamingbrainstudios/seamless-sky-backgrounds  (o repo quoc-chien)
v3x3d/bit-bonanza	Bit Bonanza - Simple Top-Down 10x10 RPG Assets Tileset (1Bit, CC0, Free)	v3x3d	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs v3x3d/bit-bonanza  (o repo quoc-chien)
alexs-assets/16x16-rpg-item-pack	16x16 RPG Item Pack	alexs-assets	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs alexs-assets/16x16-rpg-item-pack  (o repo quoc-chien)
pixelfrog-assets/pirate-bomb	Pirate Bomb	pixelfrog-assets	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs pixelfrog-assets/pirate-bomb  (o repo quoc-chien)
mattwalkden/free-robot-warfare-pack	Free Robot Warfare Pack	mattwalkden	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs mattwalkden/free-robot-warfare-pack  (o repo quoc-chien)
luizmelo/martial-hero	Martial Hero	luizmelo	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs luizmelo/martial-hero  (o repo quoc-chien)
kevins-moms-house/fantasy	fantasy_	kevins-moms-house	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs kevins-moms-house/fantasy  (o repo quoc-chien)
screamingbrainstudios/photorealistic-texture-pack	Photorealistic Texture Pack 1	screamingbrainstudios	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs screamingbrainstudios/photorealistic-texture-pack  (o repo quoc-chien)
egordorichev/adve	Adve	egordorichev	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs egordorichev/adve  (o repo quoc-chien)
screamingbrainstudios/iso-town-pack	Isometric Tiles - Town Pack	screamingbrainstudios	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs screamingbrainstudios/iso-town-pack  (o repo quoc-chien)
essssam/rocky-roads	Rocky Roads Asset Pack	essssam	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs essssam/rocky-roads  (o repo quoc-chien)
v3x3d/bountiful-bits	Bountiful Bits - 10x10 RPG Assets Top-Down Tileset (1Bit, CC0, Free)	v3x3d	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs v3x3d/bountiful-bits  (o repo quoc-chien)
greatdocbrown/coins-gems-etc	Coins & Gems & Chests & More	greatdocbrown	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs greatdocbrown/coins-gems-etc  (o repo quoc-chien)
ansimuz/super-grotto-escape-pack	Warped: Super Grotto Escape Collection	ansimuz	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs ansimuz/super-grotto-escape-pack  (o repo quoc-chien)
dogobongocat/ui-assets-pack-srt	UI assets pack	dogobongocat	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs dogobongocat/ui-assets-pack-srt  (o repo quoc-chien)
screamingbrainstudios/tiny-texture-pack-3	Tiny Texture Pack 3	screamingbrainstudios	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs screamingbrainstudios/tiny-texture-pack-3  (o repo quoc-chien)
merchant-shade/free-16x16-weapon-rpg-icons	Free 16x16 Weapon RPG Icons	merchant-shade	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs merchant-shade/free-16x16-weapon-rpg-icons  (o repo quoc-chien)
luizmelo/hero-knight	Hero Knight	luizmelo	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs luizmelo/hero-knight  (o repo quoc-chien)
foozlecc/void-main-ship	Void - Main Ship	foozlecc	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs foozlecc/void-main-ship  (o repo quoc-chien)
