id	ten	tac_gia	license	loai	nguon	dinh_dang	tu_khoa	ghi_cong	cach_lay
824ebd5b-0855-4c1d-805b-7e66691172d1	Banner of Kazan	HetmanTheResearcher	CC-BY 4.0	illustration	wikimedia	svg	banner	"Banner of Kazan" by HetmanTheResearcher is licensed under CC BY 4.0. To view a copy of this license, visit https://creativecommons.org/licenses/by/4.0/.	curl -O "https://upload.wikimedia.org/wikipedia/commons/a/af/Banner_of_Kazan.svg"
10d4ac45-4b54-4bd2-ae02-0853e23b2db8	Banner of Dmitry Donskoy in the Battle of Kulikovo	Лобачев Владимир. Base: File:Battle of Kulikovo 17th century miniature.jpg	CC0	illustration	wikimedia	svg	banner	"Banner of Dmitry Donskoy in the Battle of Kulikovo" by Лобачев Владимир. Base: File:Battle of Kulikovo 17th century miniature.jpg is marked with CC0 1.0. To view the terms, visit https://creativecommons.org/publicdomain/zero/1.0/deed.en/.	curl -O "https://upload.wikimedia.org/wikipedia/commons/9/97/Banner_of_Dmitry_Donskoy_in_the_Battle_of_Kulikovo.svg"
d7c936be-2e74-4a21-a99e-880a95557158	Banner of Duchy of Samogitia (1609-1618)-1	Лобачев Владимир	CC0	illustration	wikimedia	svg	banner	"Banner of Duchy of Samogitia (1609-1618)-1" by Лобачев Владимир is marked with CC0 1.0. To view the terms, visit https://creativecommons.org/publicdomain/zero/1.0/deed.en/.	curl -O "https://upload.wikimedia.org/wikipedia/commons/e/e7/Banner_of_Duchy_of_Samogitia_%281609-1618%29-1.svg"
ac2bb8dd-49f1-4910-ad0f-005911f18d69	Royal banner of Philip II of Spain (1580-1598)	Samhanin	CC-BY 3.0	illustration	wikimedia	svg	banner	"Royal banner of Philip II of Spain (1580-1598)" by Samhanin is licensed under CC BY 3.0. To view a copy of this license, visit https://creativecommons.org/licenses/by/3.0/.	curl -O "https://upload.wikimedia.org/wikipedia/commons/c/cd/Royal_banner_of_Philip_II_of_Spain_%281580-1598%29.svg"
4febf313-52da-48a6-9f01-3093c3ac35ce	Imperial banner of Korea	Samhanin	CC0	illustration	wikimedia	svg	banner	"Imperial banner of Korea" by Samhanin is marked with CC0 1.0. To view the terms, visit https://creativecommons.org/publicdomain/zero/1.0/deed.en/.	curl -O "https://upload.wikimedia.org/wikipedia/commons/b/b7/Imperial_banner_of_Korea.svg"
3ed439df-54e1-4e24-842f-b83d4484c905	Banner of Vilnius Voivodeship (1609-1618)-1	Лобачев Владимир	CC0	illustration	wikimedia	svg	banner	"Banner of Vilnius Voivodeship (1609-1618)-1" by Лобачев Владимир is marked with CC0 1.0. To view the terms, visit https://creativecommons.org/publicdomain/zero/1.0/deed.en/.	curl -O "https://upload.wikimedia.org/wikipedia/commons/e/e0/Banner_of_Vilnius_Voivodeship_%281609-1618%29-1.svg"
3ec2129a-255e-4966-9db9-3332f8f66b89	Principality of Dukagjini banner of arms	Hakuli	CC-BY 4.0	illustration	wikimedia	svg	banner	"Principality of Dukagjini banner of arms" by Hakuli is licensed under CC BY 4.0. To view a copy of this license, visit https://creativecommons.org/licenses/by/4.0/.	curl -O "https://upload.wikimedia.org/wikipedia/commons/d/df/Principality_of_Dukagjini_banner_of_arms.svg"
67139298-f76d-496d-b92c-ce0f26126706	Banner of Punjab, India	Shubhdeep Sandhu	CC0	illustration	wikimedia	svg	banner	"Banner of Punjab, India" by Shubhdeep Sandhu is marked with CC0 1.0. To view the terms, visit https://creativecommons.org/publicdomain/zero/1.0/deed.en/.	curl -O "https://upload.wikimedia.org/wikipedia/commons/f/fc/Banner_of_Punjab%2C_India.svg"
5cd7b7f7-3ff3-4141-8785-eafc99e2206e	Banner of Vitebsk Voivodeship (1609-1618)-1	Лобачев Владимир	CC0	illustration	wikimedia	svg	banner	"Banner of Vitebsk Voivodeship (1609-1618)-1" by Лобачев Владимир is marked with CC0 1.0. To view the terms, visit https://creativecommons.org/publicdomain/zero/1.0/deed.en/.	curl -O "https://upload.wikimedia.org/wikipedia/commons/e/ee/Banner_of_Vitebsk_Voivodeship_%281609-1618%29-1.svg"
4c002be3-d0b1-4812-b173-eb6041045f1b	Banner of King Tvrtko I of Bosnia	Sci Show With Moh / Vectorization: Mrmw	CC0	illustration	wikimedia	svg	banner	"Banner of King Tvrtko I of Bosnia" by Sci Show With Moh / Vectorization: Mrmw is marked with CC0 1.0. To view the terms, visit https://creativecommons.org/publicdomain/zero/1.0/deed.en/.	curl -O "https://upload.wikimedia.org/wikipedia/commons/3/37/Banner_of_King_Tvrtko_I_of_Bosnia.svg"
7e26ab02-752f-4895-acf8-880a4555dd89	Banner of the Lithuanian Provisional Governing Commission	Samhanin	CC-BY 4.0	illustration	wikimedia	svg	banner	"Banner of the Lithuanian Provisional Governing Commission" by Samhanin is licensed under CC BY 4.0. To view a copy of this license, visit https://creativecommons.org/licenses/by/4.0/.	curl -O "https://upload.wikimedia.org/wikipedia/commons/0/01/Banner_of_the_Lithuanian_Provisional_Governing_Commission.svg"
04592138-294e-464a-99d8-4dadc6b3eab6	Banner of Polotsk Voivodeship (1609-1618)-1	Лобачев Владимир	CC0	illustration	wikimedia	svg	banner	"Banner of Polotsk Voivodeship (1609-1618)-1" by Лобачев Владимир is marked with CC0 1.0. To view the terms, visit https://creativecommons.org/publicdomain/zero/1.0/deed.en/.	curl -O "https://upload.wikimedia.org/wikipedia/commons/a/a6/Banner_of_Polotsk_Voivodeship_%281609-1618%29-1.svg"
79806f1e-2916-439d-8f8a-3c1cbef5a26b	Banner of the Principality of Halych	Samhanin	CC-BY 3.0	illustration	wikimedia	svg	banner	"Banner of the Principality of Halych" by Samhanin is licensed under CC BY 3.0. To view a copy of this license, visit https://creativecommons.org/licenses/by/3.0/.	curl -O "https://upload.wikimedia.org/wikipedia/commons/b/ba/Banner_of_the_Principality_of_Halych.svg"
5f0d0d62-13ec-4075-a993-6fdcaba64f83	Banner of Minsk Voivodeship (1609-1618)-1	Лобачев Владимир	CC0	illustration	wikimedia	svg	banner	"Banner of Minsk Voivodeship (1609-1618)-1" by Лобачев Владимир is marked with CC0 1.0. To view the terms, visit https://creativecommons.org/publicdomain/zero/1.0/deed.en.	curl -O "https://upload.wikimedia.org/wikipedia/commons/3/3b/Banner_of_Minsk_Voivodeship_%281609-1618%29-1.svg"
e2e6e8bb-8c05-4563-a23f-ab8e85936d2b	Banner of Brest Litovsk Voivodeship (1609-1618)-1	Лобачев Владимир	CC0	illustration	wikimedia	svg	banner	"Banner of Brest Litovsk Voivodeship (1609-1618)-1" by Лобачев Владимир is marked with CC0 1.0. To view the terms, visit https://creativecommons.org/publicdomain/zero/1.0/deed.en.	curl -O "https://upload.wikimedia.org/wikipedia/commons/7/79/Banner_of_Brest_Litovsk_Voivodeship_%281609-1618%29-1.svg"
