id	ten	tac_gia	license	so_tam	dinh_dang	tag	cach_lay
otRsYa6pan	Building	Kay Lousberg	CC0 1.0	1885	glb	building	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
JgGLJH2iXj	Large Building	Kenney	CC0 1.0	840	glb	building	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
cm5teXZ5Ctr	Building construction crane	Kieran Farr	CC-BY 3.0	1524	glb	building	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
QjL4Fo9dU9	Small Building	Kenney	CC0 1.0	410	glb	building	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
ehlXKSH5gsz	Chatham with colour	Reegan Howles	CC-BY 3.0	15189	glb	building	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
obYD8hWLTZ	Skyscraper	Kenney	CC0 1.0	1570	glb	building	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
bbH2Bg73qM	Building	Kay Lousberg	CC0 1.0	1711	glb	building	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
fuAgJluDLwx	Building	Poly by Google	CC-BY 3.0	350	glb	building	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
9bdkTVw8GE8	The Entryway - Museum Diorama	Joshua Johanson	CC-BY 3.0	8545	glb	building	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
lkiYUfDPLb	Row of Structures	Yogoshimo 2.0	CC-BY 3.0	65336	glb	building	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
1bt4yYKmuK	Large Building	Kenney	CC0 1.0	1400	glb	building	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
Rq572hdKEz	Small Building	Kenney	CC0 1.0	660	glb	building	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
4NNkEGLAdOb	Chilled Cow Apt	Julien Kleber (Juliusprod)	CC-BY 3.0	26404	glb	home	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
8DFKst8XNAB	House & Car	KatTie S	CC-BY 3.0	9618	glb	home	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
diphAid-jq6	House	Peter Le Bek	CC-BY 3.0	1350	glb	home	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
4HVzmtiYYWg	Home Doormat	Jarlan Perez	CC-BY 3.0	204	glb	home	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
6Rj_qXvECqA	Starter Home	VR Voyagers	CC-BY 3.0	0	glb	home	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
1GpgtI-C05M	Cabin	Poly by Google	CC-BY 3.0	3931	glb	home	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
2VKFPjBuDR-	HomeStuff_1	Yogoshimo 2.0	CC-BY 3.0	2135	glb	home	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
eW6I3F6gws3	House	jeremy	CC-BY 3.0	1326	glb	home	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
vZ1CLbWmSx	House	Quaternius	CC0 1.0	2716	glb	home	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
