id	ten	tac_gia	license	so_tam	dinh_dang	tag
1gbelZzatWF	Support mech	Vas Pupin	CREATIVE_COMMONS_BY 3.0	318880	GLTF2,FBX,GLTF1,BLOCKS,OBJ,USDZ,GLB	curated,tech
cwIKVonUXa2	Purple Mech Alien 02	lovedoll	CREATIVE_COMMONS_BY 3.0	11560	GLTF1,GLTF2,USDZ,GLB	people
a-XvQuq7Lvv	MS Gundam MS-06S Char's Zaku 2	Tipatat Chennavasin	CREATIVE_COMMONS_BY 3.0	6500	GLTF2,GLTF1,OBJ,BLOCKS,FBX,USDZ,GLB	anime,curated,people,robot
1fqZnct4ZCx	Human Joints Starter Kit	Rick Reitano	CREATIVE_COMMONS_BY 3.0	2552	GLTF2,OBJ,FBX,BLOCKS,USDZ,GLTF1,GLB	people
4cFp8h-mxTV	Kitchen Scale	Google	CREATIVE_COMMONS_BY 3.0	600	USDZ,GLTF2,GLB,GLTF1	appliance,curated,measure,tech,tool,weight
c4db68_f3lK	robot	Anonymous	CREATIVE_COMMONS_BY 3.0	155700	GLTF2,GLTF1,FBX,USDZ,BLOCKS,OBJ,GLB	curated
51h2ELk0o6n	Mech concept	Raul Yo	CREATIVE_COMMONS_BY 3.0	38808	GLTF2,GLTF1,BLOCKS,USDZ,GLB	curated,tech
4XsUYx8ON1T	Velocirobot	Hoai Nguyen	CREATIVE_COMMONS_BY 3.0	41708	GLTF2,BLOCKS,USDZ,GLTF1,GLB	blocks,BotsWithBlocks,curated,DinoBlocks,tech
eWGDnQ0jzmH	Male base	Артур Мигранов	CREATIVE_COMMONS_BY 3.0	48918	GLB,USDZ,GLTF2,GLTF1	curated,people
7rW7NFLpdpn	Dawid	3Donimus	CREATIVE_COMMONS_BY 3.0	162424	GLTF2,GLTF1,USDZ,BLOCKS,GLB	art,curated
de1C80IeXEi	Blocks Humanoid	3Donimus	CREATIVE_COMMONS_BY 3.0	3878	GLTF2,BLOCKS,USDZ,GLB,GLTF1	blocks,curated,people
5x1hRpbmdfo	MechQuadruped	3Donimus	CREATIVE_COMMONS_BY 3.0	73728	GLTF2,GLTF1,BLOCKS,USDZ,GLB	animals,curated
d4bayjeM1aD	Mechanical Horse	jake young	CREATIVE_COMMONS_BY 3.0	63724	GLTF2,GLTF1,USDZ,BLOCKS,GLB	blocks,BotsWithBlocks,curated,tech
