duong_dan	ten	tac_gia	license	loai	cach_lay
/content/isometric-64x64-medieval-building-tileset	Isometric 64x64 Medieval Building Tileset	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/isometric-64x64-medieval-building-tileset roi tai tay
/content/top-down-dungeon-tileset	Top down dungeon tileset	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/top-down-dungeon-tileset roi tai tay
/content/dirt-platformer-tiles	Dirt Platformer Tiles	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/dirt-platformer-tiles roi tai tay
/content/cave-tileset	Cave Tileset	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/cave-tileset roi tai tay
/content/teleporter-circle	Teleporter Circle	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/teleporter-circle roi tai tay
/content/handpainted-platform-tileset	Handpainted Platform Tileset	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/handpainted-platform-tileset roi tai tay
/content/recycle-items-set	Recycle items set	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/recycle-items-set roi tai tay
/content/tileset-1bit-color	Tileset 1bit Color	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/tileset-1bit-color roi tai tay
/content/various-inventory-24-pixel-icon-set	Various inventory 24 pixel icon set	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/various-inventory-24-pixel-icon-set roi tai tay
/content/toens-medieval-strategy-sprite-pack-v10-16x16	Toen's Medieval Strategy Sprite Pack v.1.0 (16x16)	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/toens-medieval-strategy-sprite-pack-v10-16x16 roi tai tay
/content/animated-rogue	Animated Rogue	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/animated-rogue roi tai tay
/content/lpc-goblin	[LPC] Goblin	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/lpc-goblin roi tai tay
/content/tower-defense-prototyping-assets-4-monsters-some-tiles-a-background-image	Tower Defense Prototyping Assets:  4 monsters, some tiles, a background image	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/tower-defense-prototyping-assets-4-monsters-some-tiles-a-background-image roi tai tay
/content/lpc-modified-base-tiles	LPC: Modified base tiles	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/lpc-modified-base-tiles roi tai tay
/content/98-pixel-art-rpg-icons	98 Pixel Art RPG Icons	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/98-pixel-art-rpg-icons roi tai tay
/content/16x16-16x24-32x32-rpg-enemies-updated	16x16, 16x24, 32x32 rpg enemies--updated	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/16x16-16x24-32x32-rpg-enemies-updated roi tai tay
/content/140-military-icons-set-fixed	140 Military Icons Set (fixed)	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/140-military-icons-set-fixed roi tai tay
/content/tiny-16-expanded-character-sprites	Tiny 16: Expanded Character Sprites	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/tiny-16-expanded-character-sprites roi tai tay
/content/basic-map-32x32-by-ivan-voirol	Basic map 32x32 by Ivan voirol	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/basic-map-32x32-by-ivan-voirol roi tai tay
/content/nature-tileset	Nature tileset	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/nature-tileset roi tai tay
/content/cat-fighter-sprite-sheet	Cat Fighter Sprite Sheet	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/cat-fighter-sprite-sheet roi tai tay
/content/scifi-creature-tileset-mini-32x32-scifi-creature-icons	Scifi creature tileset (mini 32x32 scifi creature icons)	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/scifi-creature-tileset-mini-32x32-scifi-creature-icons roi tai tay
/content/animated-coins	Animated Coins	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/animated-coins roi tai tay
/content/sci-fi-effects	Sci-fi effects	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/sci-fi-effects roi tai tay
/content/lpc-imp	[LPC] Imp	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/lpc-imp roi tai tay
/content/lpc-spider	[LPC] Spider	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/lpc-spider roi tai tay
/content/3-form-rpg-boss-harlequin-epicycle	3-form RPG boss: "Harlequin Epicycle."	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/3-form-rpg-boss-harlequin-epicycle roi tai tay
/content/bunny-rabbit-lpc-style-for-pixelfarm	Bunny Rabbit LPC style for PixelFarm	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/bunny-rabbit-lpc-style-for-pixelfarm roi tai tay
/content/golden-items-rip-upgrade-pack	Golden Items [RIP Upgrade Pack]	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/golden-items-rip-upgrade-pack roi tai tay
/content/cyberpunk-street-environment	Cyberpunk Street Environment	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/cyberpunk-street-environment roi tai tay
/content/space-merc	Space Merc	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/space-merc roi tai tay
/content/beastlands	Beastlands	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/beastlands roi tai tay
/content/24x32-characters-with-faces-big-pack	24x32 characters with faces (big pack)	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/24x32-characters-with-faces-big-pack roi tai tay
/content/trees-and-bushes	Trees and Bushes	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/trees-and-bushes roi tai tay
/content/20-planet-sprites	20 planet sprites	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/20-planet-sprites roi tai tay
/content/weird-fruits-16x16	Weird Fruits [16x16]	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/weird-fruits-16x16 roi tai tay
/content/16x16-forest-tiles	16x16 Forest Tiles	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/16x16-forest-tiles roi tai tay
/content/platformer-tilesets	Platformer Tilesets	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/platformer-tilesets roi tai tay
/content/platformer-animations	Platformer Animations	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/platformer-animations roi tai tay
/content/lpc-birds	[LPC] Birds	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/lpc-birds roi tai tay
/content/isometric-hero-and-heroine	Isometric Hero and Heroine	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/isometric-hero-and-heroine roi tai tay
/content/antifareas-rpg-sprite-set-1-enlarged-w-transparent-background	Antifarea's RPG sprite set 1, enlarged w/ transparent background	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/antifareas-rpg-sprite-set-1-enlarged-w-transparent-background roi tai tay
/content/space-ship-building-bits-volume-1	Space ship building bits, volume 1	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/space-ship-building-bits-volume-1 roi tai tay
/content/tree-collection-v26-bleeds-game-art	Tree Collection v2.6 - Bleed's Game Art	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/tree-collection-v26-bleeds-game-art roi tai tay
/content/lpc-interior-castle-tiles	LPC: Interior Castle Tiles	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/lpc-interior-castle-tiles roi tai tay
/content/explosion-effects-and-more	Explosion effects and more	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/explosion-effects-and-more roi tai tay
/content/pixel-explosion-12-frames	Pixel Explosion (12 Frames)	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/pixel-explosion-12-frames roi tai tay
/content/antifareas-rpg-sprite-set-1-enlarged-w-transparent-background-fixed	Antifarea's RPG sprite set 1, enlarged w/ transparent background, fixed	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/antifareas-rpg-sprite-set-1-enlarged-w-transparent-background-fixed roi tai tay
/content/high-res-fire-ball	High res fire ball	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/high-res-fire-ball roi tai tay
/content/victims-and-villagers	Victims and Villagers	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/victims-and-villagers roi tai tay
/content/a-cute-dungeon	A cute dungeon	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/a-cute-dungeon roi tai tay
/content/simerion-tiles-and-images	Simerion tiles and images	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/simerion-tiles-and-images roi tai tay
/content/lpc-tree-recolors	[LPC] Tree Recolors	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/lpc-tree-recolors roi tai tay
/content/6-more-rpg-enemies	6 More RPG Enemies	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/6-more-rpg-enemies roi tai tay
/content/rpg-gui-contstruction-kit-vmoon	RPG GUI contstruction kit vMoon	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/rpg-gui-contstruction-kit-vmoon roi tai tay
/content/10-fantasy-rpg-enemies	10 Fantasy RPG enemies	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/10-fantasy-rpg-enemies roi tai tay
/content/underwater-fantasy	Underwater Fantasy	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/underwater-fantasy roi tai tay
/content/pine-tree-pack	Pine Tree Pack	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/pine-tree-pack roi tai tay
/content/objects-for-16x16-tilesets	Objects for 16x16 tilesets	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/objects-for-16x16-tilesets roi tai tay
/content/zombie-sprites	Zombie Sprites	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/zombie-sprites roi tai tay
/content/gui-for-some-rpg-game	G.u.i. for some rpg game	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/gui-for-some-rpg-game roi tai tay
/content/16x16-snowy-town-tiles	16x16 Snowy Town Tiles	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/16x16-snowy-town-tiles roi tai tay
/content/lpc-adobe-town-set	[LPC] Adobe Town Set	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/lpc-adobe-town-set roi tai tay
/content/spaceships-1	spaceships	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/spaceships-1 roi tai tay
/content/living-tissue-platform-tileset	Living Tissue Platform Tileset	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/living-tissue-platform-tileset roi tai tay
/content/lpc-beetle	LPC beetle	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/lpc-beetle roi tai tay
/content/isometric-64x64-outside-tileset	Isometric 64x64 Outside Tileset	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/isometric-64x64-outside-tileset roi tai tay
/content/house-tileset-blackguard	House Tileset (Blackguard)	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/house-tileset-blackguard roi tai tay
/content/24x32-peppercarrot-characters	24x32 Pepper&Carrot Characters	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/24x32-peppercarrot-characters roi tai tay
/content/weapon-icons-32x32px-painterly	Weapon Icons 32x32px (painterly)	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/weapon-icons-32x32px-painterly roi tai tay
/content/forest-monsters	Forest Monsters	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/forest-monsters roi tai tay
/content/ships-with-ripple-effect	Ships with ripple effect	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/ships-with-ripple-effect roi tai tay
/content/48-animated-old-school-rpg-characters-16x16	48 animated old school RPG characters (16x16)	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/48-animated-old-school-rpg-characters-16x16 roi tai tay
/content/particle-effects	Particle Effects	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/particle-effects roi tai tay
/content/oceans-icons	Oceans icons	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/oceans-icons roi tai tay
/content/rotating-crystal-animation-8-step	Rotating Crystal Animation (8-Step)	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/rotating-crystal-animation-8-step roi tai tay
/content/first-person-dungeon-crawl-protagonist	First Person Dungeon Crawl Protagonist	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/first-person-dungeon-crawl-protagonist roi tai tay
/content/64x64-isometric-roguelike-tiles	64x64 isometric roguelike tiles	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/64x64-isometric-roguelike-tiles roi tai tay
/content/lpc-golem	[LPC] Golem	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/lpc-golem roi tai tay
/content/ocean-background	Ocean Background	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/ocean-background roi tai tay
/content/db16-rpg-character-sprites-v2	db16 RPG Character Sprites (v2)	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/db16-rpg-character-sprites-v2 roi tai tay
/content/10-basic-rpg-enemies-the-goblin-supplement	10 Basic RPG enemies: the goblin supplement	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/10-basic-rpg-enemies-the-goblin-supplement roi tai tay
/content/fossil-undead-rpg-enemy-sprites	Fossil (Undead) RPG Enemy Sprites	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/fossil-undead-rpg-enemy-sprites roi tai tay
/content/four-characters-my-lpc-entries	Four characters:  My LPC entries	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/four-characters-my-lpc-entries roi tai tay
/content/sky-background	Sky background	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/sky-background roi tai tay
/content/grass-and-water-tiles	Grass and Water Tiles	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/grass-and-water-tiles roi tai tay
/content/opp-jungle-tiles	OPP Jungle Tiles	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/opp-jungle-tiles roi tai tay
/content/grotto-escape-ii-environment	Grotto Escape II - Environment	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/grotto-escape-ii-environment roi tai tay
/content/random-rpg-icons-part-1	Random RPG Icons Part 1	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/random-rpg-icons-part-1 roi tai tay
/content/lpc-animated-water-and-fire	[LPC] Animated water and fire	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/lpc-animated-water-and-fire roi tai tay
/content/minimalist-sidescroll-city	Minimalist Sidescroll City	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/minimalist-sidescroll-city roi tai tay
/content/minimal-sidescroller-tileset	Minimal sidescroller tileset	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/minimal-sidescroller-tileset roi tai tay
/content/16x16-town-remix	16x16 Town Remix	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/16x16-town-remix roi tai tay
/content/ikaros	Ikaros	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/ikaros roi tai tay
/content/2d-platformer-art-assets-from-horse-of-spring	2D Platformer Art Assets from "Horse of Spring"	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/2d-platformer-art-assets-from-horse-of-spring roi tai tay
/content/sara-wizard	Sara - Wizard	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/sara-wizard roi tai tay
/content/lightning-shock-spell	Lightning Shock Spell	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/lightning-shock-spell roi tai tay
/content/outdatedarchive-fantasy-icon-pack	[Outdated/Archive] Fantasy Icon Pack	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/outdatedarchive-fantasy-icon-pack roi tai tay
/content/16x16-overworld-tiles	16x16 Overworld Tiles	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/16x16-overworld-tiles roi tai tay
/content/whispers-of-avalon-desert-tileset	Whispers of Avalon: Desert Tileset	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/whispers-of-avalon-desert-tileset roi tai tay
/content/application-silk-icon-set-13	Application Silk Icon Set 1.3	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/application-silk-icon-set-13 roi tai tay
/content/city-background-repetitive-3	City Background Repetitive 3	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/city-background-repetitive-3 roi tai tay
/content/open-pixel-platformer-tiles-sprites	Open Pixel Platformer Tiles & Sprites	?	CC-BY 3.0	2D Art	mo https://opengameart.org/content/open-pixel-platformer-tiles-sprites roi tai tay
